ID,Want5Days,OfficeDays,OfficeComfort,OfficeComfort_О,OfficePlus,HomeComfort,HomeComfort_О,HomePlus,Productivity,Workload,Productivity_O,Workload_O,Traffic,Traffic_O,ExtraTime,Difference,Essentials,Communication,Communication_O,Sex,Years,Children,NAKO_pop
1,No,2,4,Комфортно,"Живе спілкування з колегами, оперативне обговорення питань, розуміння поточної ситуації всієї організації ",4,Комфортно,"Не витрачаю час на дорогу, харчування в офісі, можу працювати в тиші і зручних умовах, самостійно планувати свої задачі та чергувати навантаження",NA,2,Важко відповісти,Збільшилося,2,від 1 до 2,Роботу,Робота вдома більш продуктивна і зосереджена,Так,4,Задовільна,Female,30-39,Так,12
2,No,1,5,Дуже комфортно,"Особисте спілкування з колегами, вірішення всіх питань, що зібралися за тиждень, які не можна було вирішити віддалено",5,Дуже комфортно,"Економія часу на дорогу, роботу виконую більш спокійно, не спішу",2,1,Збільшилася,Залишилося таким же,3,від 2 до 3,"частково на роботу, частково на домашні справи","Різниця полягає в тому, що вдома біль затишно працювати, спокійніше, не відриваєшся від конкретного питання поки не закінчиш",Так,5,Дуже задовільна,Female,50-59,Ні,12
3,No,1,2,Некомфортно,"Їх немає, вдома набагато легше зосередитись",5,Дуже комфортно,"Високий рівень самоорганізованості, вища ефективність у порівнянні з офісом",2,1,Збільшилася,Залишилося таким же,2,від 1 до 2,Спілкування (з друзями/сім'єю/тощо),Різниця велика. Вдома працювати набагато комфортніше та продуктивніше. Вдома є тиша і можна нормально зосередитися на робочих завданнях.,Так,5,Дуже задовільна,Male,30-39,Ні,12
4,No,1,1,Дуже некомфортно,Спілкування із колегами ,5,Дуже комфортно,"Можливість не витрачати зайвих 2.5 глини на транспорт; Можливість гнучко поєднувати різні проєкти, можливість більш ефективно зосереджуватися на роботі, можливість краще планувати свій час; ",2,2,Збільшилася,Збільшилося,3,від 2 до 3,Відпочинок,В можливісті комбінувати різні професійні активності та роботи це в неформальному стилі ,Так,5,Дуже задовільна,Female,30-39,Ні,12
5,No,3,5,Дуже комфортно,Через особистий контакт і можливість живого спілкування деякі питання вирішуються швидше ,4,Комфортно,"Не витрачаєш час на дорогу, більше часу приділяється роботі. Не відволікаєшся на ""побутові"" теми спілкування в колективі.",2,2,Збільшилася,Збільшилося,3,від 2 до 3,Роботу,"Вдома може відволікати маленька дитина. В офісі - розмови. Загалом продуктнивності більше вдома, адже час на дорогу тепер витрачається зранку на роботу. ",Так,3,Не змінилася,Male,30-39,Так,12
6,No,2,4,Комфортно,комунікація з колегами,5,Дуже комфортно,"не втомлюєшься від дороги, більше встигаєш",1,2,Залишилася такою ж,Збільшилося,3,від 2 до 3,Роботу,вдома більше працюєш,Так,3,Не змінилася,Female,30-39,Так,12
7,Yes,4,5,Дуже комфортно,організований робочий простір,2,Некомфортно,не витрачається час на дорогу,1,1,Залишилася такою ж,Залишилося таким же,3,від 2 до 3,Домашні справи,в офісі менше відволікаючих факторів,Так,4,Задовільна,Male,40-49,Так,12
8,No,2,3,Достатньо комфортно,"1) Відчуття приналежності до команди/колективу, 2) можливість отримання швидкого зворотнього зв'язку",5,Дуже комфортно,"1) Самостійне планування робочого дня, гнучкість, 2) Ніхто не відволікає,  3) Великий монітор,",2,1,Збільшилася,Залишилося таким же,2,від 1 до 2,Сон,"Так, вдома комфортніше",Так,3,Не змінилася,Female,30-39,Ні,12
9,No,2,3,Достатньо комфортно,"командан синергія, усі документи і оргтехніка під рукою",5,Дуже комфортно,"+2 години, які витрачаються на дорогу в офіс, тепер мої; немає необхідності збиратися-вбиратися",2,1,Збільшилася,Залишилося таким же,2,від 1 до 2,Відпочинок,"так, бо я частково працюю з документами, які не завжди відскановані, часом потрібно щось почитати, а вдома немає під руками, це затримує процес",Ні,5,Дуже задовільна,Female,30-39,Ні,12
10,No,2,3,Достатньо комфортно,"Швидша комунікація з колегами, можливість оперативно вирішити якісь термінові питання",5,Дуже комфортно,"Більш гнучкий графік, спокійніша робота, колеги не відволікають. Найбільшим плюсом є економія часу - щонайменше 3 години в день (дорога + час на зібратися).",2,2,Збільшилася,Збільшилося,2,від 1 до 2,"Все вище перераховане, в залежності від дня","Робота вдома передбачає більшу концентрацію, спокійніший темп і менше шуму - інформаційного та буквального. Робота з офісу є важливою, коли необхідно провести зустрічі, стаф-мітінги або якісь заходи, проте за їхньої відсутності потреби їхати в офіс як такої немає.",Так,4,Задовільна,Female,18-29,Ні,12
